target,horizon,model_family,model,model_label,representation,nominal_coverage,forecast_n,valid_interval_n,missing_or_invalid_interval_n,empirical_coverage,mean_interval_width,median_interval_width,coverage_direction,interval_method,undefined_reason,small_sample_flag
MTC,2,statistical,Naive,Naive,statistical_native,0.95,17,17,0,0.0,0.016532297591799233,0.01660233959576196,undercoverage,frozen statistical model-native or training-only empirical method,,
MTC,2,statistical,Theta,Theta,statistical_native,0.8,17,17,0,0.058823529411764705,0.005566700573985711,0.005509077276576235,undercoverage,frozen statistical model-native or training-only empirical method,,
MTC,2,statistical,Theta,Theta,statistical_native,0.95,17,17,0,0.17647058823529413,0.008513533853079317,0.008425406624624543,undercoverage,frozen statistical model-native or training-only empirical method,,
MTC,5,classical_ml,RandomForest,RandomForest [first_difference_direct],first_difference_direct,0.8,14,3,11,1.0,0.028269512440267874,0.027732451727064955,overcoverage,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,,
MTC,5,classical_ml,RandomForest,RandomForest [first_difference_direct],first_difference_direct,0.95,14,3,11,1.0,0.028269512440267874,0.027732451727064955,overcoverage,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,,
MTC,5,classical_ml,RandomForest,RandomForest [linear_detrend_direct],linear_detrend_direct,0.8,14,3,11,1.0,0.09891400688643574,0.10031327835931947,overcoverage,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,,
MTC,5,classical_ml,RandomForest,RandomForest [linear_detrend_direct],linear_detrend_direct,0.95,14,3,11,1.0,0.09891400688643574,0.10031327835931947,overcoverage,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,,
MTC,5,classical_ml,SVR,SVR [first_difference_direct],first_difference_direct,0.8,14,3,11,1.0,0.03995575322147952,0.04079853525091792,overcoverage,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,,
MTC,5,classical_ml,SVR,SVR [first_difference_direct],first_difference_direct,0.95,14,3,11,1.0,0.03995575322147952,0.04079853525091792,overcoverage,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,,
MTC,5,classical_ml,SVR,SVR [linear_detrend_direct],linear_detrend_direct,0.8,14,3,11,1.0,0.09133744783354736,0.09267511335026057,overcoverage,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,,
MTC,5,classical_ml,SVR,SVR [linear_detrend_direct],linear_detrend_direct,0.95,14,3,11,1.0,0.09133744783354736,0.09267511335026057,overcoverage,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,,
MTC,5,classical_ml,XGBoost,XGBoost [first_difference_direct],first_difference_direct,0.8,14,3,11,1.0,0.024820716725647785,0.027545697427429516,overcoverage,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,,
MTC,5,classical_ml,XGBoost,XGBoost [first_difference_direct],first_difference_direct,0.95,14,3,11,1.0,0.024820716725647785,0.027545697427429516,overcoverage,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,,
MTC,5,classical_ml,XGBoost,XGBoost [linear_detrend_direct],linear_detrend_direct,0.8,14,3,11,1.0,0.09793848626948846,0.0986948454367731,overcoverage,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,,
MTC,5,classical_ml,XGBoost,XGBoost [linear_detrend_direct],linear_detrend_direct,0.95,14,3,11,1.0,0.09793848626948846,0.0986948454367731,overcoverage,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,,
MTC,5,neural_ablation,CNN_BiLSTM_Attention_Original23K,CNN_BiLSTM_Attention_Original23K,first_difference_direct,0.8,14,0,14,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
MTC,5,neural_ablation,CNN_BiLSTM_Attention_Original23K,CNN_BiLSTM_Attention_Original23K,first_difference_direct,0.95,14,0,14,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
MTC,5,neural_ablation,CNN_BiLSTM_Compact_NoAttention,CNN_BiLSTM_Compact_NoAttention,first_difference_direct,0.8,14,0,14,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
MTC,5,neural_ablation,CNN_BiLSTM_Compact_NoAttention,CNN_BiLSTM_Compact_NoAttention,first_difference_direct,0.95,14,0,14,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
MTC,5,primary_neural,BiLSTM,BiLSTM,first_difference_direct,0.8,14,0,14,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
MTC,5,primary_neural,BiLSTM,BiLSTM,first_difference_direct,0.95,14,0,14,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
MTC,5,primary_neural,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Attention_Compact,first_difference_direct,0.8,14,0,14,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
MTC,5,primary_neural,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Attention_Compact,first_difference_direct,0.95,14,0,14,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
