target,horizon,model_family,role,model,model_label,representation,lookback,seed,summary_type,expected_n,successful_n,failed_n,completeness_percent,ranking_eligible,rmse,mae,mase,rmsse,smape_percent,directional_accuracy_percent,mean_error,median_error,r_squared,undefined_reason
MTC,1,classical_ml,primary,XGBoost,XGBoost [linear_detrend_direct],linear_detrend_direct,3.0,20260810,individual_seed_or_deterministic_fit,18,18,0,100.0,True,0.010619961625987509,0.009344182852936318,0.7157064060363735,0.7812369442075285,0.2094317594282885,100.0,-0.009344182852936318,-0.007278009989762246,0.9610939495198952,
MTC,1,neural_ablation,ablation,CNN_BiLSTM_Attention_Original23K,CNN_BiLSTM_Attention_Original23K,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,18,18,0,100.0,True,0.0012161529028130939,0.0009120275560956021,0.07082181406757267,0.09143723024647286,0.020416736813129242,100.0,0.00033053537697839513,-0.0001324895662597747,0.9994897915905918,
MTC,1,neural_ablation,ablation,CNN_BiLSTM_Compact_NoAttention,CNN_BiLSTM_Compact_NoAttention,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,18,18,0,100.0,True,0.0011036992038177228,0.000856206416234616,0.06583587793074396,0.08171636038551788,0.019183009406803456,100.0,-0.00024950596334521395,-0.0001329941693217762,0.9995797838789672,
MTC,1,primary_neural,primary,BiLSTM,BiLSTM,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,18,18,0,100.0,True,0.001265954656766381,0.0009032739904246196,0.06900191426563665,0.0922186020967803,0.02025472484838992,100.0,-0.000809081426743457,-0.0004903496669399487,0.9994471496965583,
MTC,1,primary_neural,primary,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Attention_Compact,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,18,18,0,100.0,True,0.0011008926075052707,0.0008935288324999963,0.06887191510955148,0.08203670981607686,0.020019753498884765,100.0,-5.55664812870048e-05,-0.0002740344374214665,0.9995819182965566,
MTC,1,primary_neural,primary,CNN_GRU,CNN_GRU,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,18,18,0,100.0,True,0.0009287813963385729,0.0007523029950188152,0.05827376174865589,0.06979017678946646,0.01683785152443132,100.0,4.3306471188467e-05,-0.00021244141725595966,0.9997024237499562,
MTC,1,primary_neural,primary,CNN_LSTM,CNN_LSTM,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,18,18,0,100.0,True,0.0010147962171163103,0.0008089172645196917,0.06243308095213429,0.0757736064915251,0.018116569914851586,100.0,-3.869734135600014e-05,-0.00013784348802436952,0.9996447542178427,
MTC,1,primary_neural,primary,CausalCNN,CausalCNN,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,18,18,0,100.0,True,0.0008696342000754934,0.0007754358951222882,0.06053582181970031,0.0658758808168759,0.01731280900175682,100.0,3.005472650540063e-05,-0.00041618066628279493,0.9997391177852172,
MTC,1,primary_neural,primary,GRU,GRU,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,18,18,0,100.0,True,0.0010146538645964944,0.0007661154446976978,0.059315051344014526,0.07593755658553984,0.01716968757960049,100.0,0.00032534858711629074,-7.654467778017704e-05,0.9996448538764431,
MTC,1,primary_neural,primary,LSTM,LSTM,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,18,18,0,100.0,True,0.0009666492076935346,0.0007764877148828613,0.06020296791460059,0.07276207442477862,0.01737693977967859,100.0,7.768732875781638e-05,-0.00019579384010137701,0.9996776638238355,
MTC,1,statistical,primary,ARIMA,ARIMA,statistical_native,,20260810,individual_seed_or_deterministic_fit,18,18,0,100.0,True,0.0004004245856672651,0.00030533751522179544,0.02366570501158937,0.03015053531301856,0.0068235699613287916,100.0,-0.00013635446743788372,-8.474966096594372e-05,0.9999446888458536,
MTC,1,statistical,primary,Drift,Drift,statistical_native,,20260810,individual_seed_or_deterministic_fit,18,18,0,100.0,True,0.0032884847071751296,0.002993107445540636,0.2319238810219747,0.2466160465109951,0.06684070646482371,100.0,-0.002993107445540636,-0.0026913212707158074,0.9962695355635433,
MTC,1,statistical,primary,ETS,ETS,statistical_native,,20260810,individual_seed_or_deterministic_fit,18,18,0,100.0,True,0.000527713819434332,0.0004543042409269739,0.03533424366179436,0.03969582082261972,0.010154545240203473,100.0,-1.3249038026685866e-05,-0.00017791899412733514,0.9999039343367105,
MTC,1,statistical,primary,LinearTrend,LinearTrend,statistical_native,,20260810,individual_seed_or_deterministic_fit,18,18,0,100.0,True,0.021856864618827156,0.021595857102279008,1.676051343917244,1.6471579163331107,0.4813918311789388,100.0,-0.021595857102279008,-0.02079085449520024,0.835203882590318,
MTC,1,statistical,primary,Naive,Naive,statistical_native,,20260810,individual_seed_or_deterministic_fit,18,18,0,100.0,True,0.009950138430384083,0.009866911048984997,0.7680761189780267,0.7541455081766989,0.22052759186184534,0.0,0.009866911048984997,0.010020907018545522,0.9658469497795201,
MTC,1,statistical,primary,Theta,Theta,statistical_native,,20260810,individual_seed_or_deterministic_fit,18,18,0,100.0,True,0.0036942037448533917,0.003436839743902532,0.268494698632152,0.2807002675685393,0.07669705498433853,100.0,0.003436839743902532,0.003730629298302368,0.9952922549061402,
MTC,2,classical_ml,primary,RandomForest,RandomForest [first_difference_direct],first_difference_direct,3.0,20260810,individual_seed_or_deterministic_fit,17,17,0,100.0,True,0.0024507649403482895,0.001807510101162744,0.13767948953654047,0.17978283677500767,0.04055101818926215,100.0,6.671875919357885e-05,-0.00039522622508503247,0.9976876016277278,
MTC,2,classical_ml,primary,RandomForest,RandomForest [linear_detrend_direct],linear_detrend_direct,3.0,20260810,individual_seed_or_deterministic_fit,17,17,0,100.0,True,0.017376567358091215,0.016494441777006867,1.2683576637243568,1.289365476045728,0.3680300632241347,100.0,-0.016494441777006867,-0.014178495989732198,0.8837515118007475,
